t,r,y,u
0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,7.19999981,0.00000000,0.00000000
0.04000000,14.39999962,0.12857144,0.43458730
0.06000000,21.60000038,0.25714287,0.46798587
0.08000000,28.79999924,0.64285719,0.60111737
0.10000000,36.00000000,1.54285717,0.63975739
0.12000000,43.20000076,3.08571434,0.68778378
0.14000000,50.40000153,5.14285755,0.70555890
0.16000000,57.59999847,7.84285736,0.78570873
0.18000000,64.80000305,11.05714321,0.78100836
0.20000000,72.00000000,15.04285812,0.86185890
0.22000000,79.19999695,19.41428757,0.78933620
0.24000000,86.40000153,24.42857361,0.91654682
0.26000000,93.59999847,29.82857323,0.81550324
0.28000000,100.80000305,35.61428833,0.91368842
0.30000000,108.00000763,41.91428757,0.87205786
0.32000000,115.19999695,48.47143173,0.84550107
0.34000000,122.40000153,55.28571701,0.87378561
0.36000000,129.60000610,62.35714722,0.84441411
0.38000000,136.80000305,69.68571472,0.83169007
0.40000000,144.00000000,77.14286041,0.79004002
0.42000000,151.19999695,84.85714722,0.78864121
0.44000000,158.39999390,92.44286346,0.70123059
0.46000000,165.60000610,100.28572083,0.78039026
0.48000000,172.80000305,108.00000763,0.61919606
0.50000000,180.00000000,115.84286499,0.72234178
0.52000000,187.19999695,123.55715179,0.57341182
0.54000000,194.40000916,131.27143860,0.65457064
0.56000000,201.60000610,138.98571777,0.55481279
0.58000000,208.79998779,146.44287109,0.55893767
0.60000000,216.00001526,154.02857971,0.59130043
0.62000000,223.19999695,161.35714722,0.47821149
0.64000000,230.39999390,168.55715942,0.58807874
0.66000000,237.60000610,175.75715637,0.52810180
0.68000000,244.80000305,182.82858276,0.53569812
0.70000000,252.00000000,189.90000916,0.55572069
0.72000000,259.20001221,196.84286499,0.52814591
0.74000000,266.39999390,203.78572083,0.58035529
0.76000000,273.60000610,210.72857666,0.54831415
0.78000000,280.79998779,217.54286194,0.57181698
0.80000000,288.00000000,224.35716248,0.61127502
0.82000000,295.20001221,231.30001831,0.60414612
0.84000000,302.39999390,238.11430359,0.58689290
0.86000000,309.60000610,244.92858887,0.66311681
0.88000000,316.79998779,252.00001526,0.64322251
0.90000000,324.00000000,258.94287109,0.59604257
0.92000000,331.20001221,265.88574219,0.69170117
0.94000000,338.39999390,272.95715332,0.65630996
0.96000000,345.60000610,280.15716553,0.65864962
0.98000000,352.80001831,287.35714722,0.63515002
1.00000000,360.00000000,294.55715942,0.66078842
1.02000000,360.00000000,301.75717163,0.65361577
1.04000000,360.00000000,308.95715332,0.63093477
1.06000000,360.00000000,316.15716553,0.55306458
1.08000000,360.00000000,323.10000610,0.44674352
1.10000000,360.00000000,329.14288330,-0.41219193
1.12000000,360.00000000,334.80001831,0.48259389
1.14000000,360.00000000,339.42858887,-0.49547797
1.16000000,360.00000000,343.80001831,0.51670796
1.18000000,360.00000000,347.14288330,-0.55062485
1.20000000,360.00000000,350.35717773,0.54527944
1.22000000,360.00000000,352.67144775,-0.57689852
1.24000000,360.00000000,354.85717773,0.54725534
1.26000000,360.00000000,356.01431274,-0.54989976
1.28000000,360.00000000,357.17144775,0.64981365
1.30000000,360.00000000,357.55715942,-0.47611758
1.32000000,360.00000000,358.07144165,0.71733987
1.34000000,360.00000000,358.97143555,0.40801409
1.36000000,360.00000000,359.87145996,0.42883831
1.38000000,360.00000000,360.00003052,-0.43066210
1.40000000,360.00000000,360.00003052,0.00000000
1.42000000,360.00000000,360.00003052,0.00000000
1.44000000,360.00000000,360.00003052,0.00000000
1.46000000,360.00000000,360.00003052,0.00000000
1.48000000,360.00000000,360.00003052,0.00000000
1.50000000,360.00000000,360.00003052,0.00000000
1.52000000,360.00000000,360.00003052,0.00000000
