t,r,y,u
0.00000000,180.00000000,0.00000000,0.00000000
0.02000000,180.00000000,0.00000000,0.00000000
0.04000000,180.00000000,0.00000000,0.22176848
0.06000000,180.00000000,6.42857170,0.44353697
0.08000000,180.00000000,25.71428680,0.62888408
0.10000000,180.00000000,57.85714340,0.73346823
0.12000000,180.00000000,96.42858124,0.74144870
0.14000000,180.00000000,115.71428680,0.67340636
0.16000000,180.00000000,147.85716248,0.66710633
0.18000000,180.00000000,160.71429443,0.56420255
0.20000000,180.00000000,167.14286804,0.53096133
0.22000000,180.00000000,180.00001526,0.51830089
0.24000000,180.00000000,180.00001526,0.46129885
0.26000000,180.00000000,180.00001526,0.46129885
0.28000000,180.00000000,186.42858887,0.46129885
0.30000000,180.00000000,180.00001526,0.42487749
0.32000000,180.00000000,180.00001526,0.45337859
0.34000000,180.00000000,186.42858887,0.45337859
0.36000000,180.00000000,186.42858887,0.41695723
0.38000000,180.00000000,186.42858887,0.40903696
0.40000000,180.00000000,186.42858887,0.40111670
0.42000000,180.00000000,186.42858887,0.39319643
0.44000000,180.00000000,180.00001526,0.38527617
0.46000000,180.00000000,180.00001526,0.41377726
0.48000000,180.00000000,180.00001526,0.41377726
0.50000000,180.00000000,180.00001526,0.41377726
0.52000000,180.00000000,186.42858887,0.41377726
0.54000000,180.00000000,180.00001526,0.37735590
0.56000000,180.00000000,186.42858887,0.40585700
0.58000000,180.00000000,180.00001526,0.36943564
0.60000000,180.00000000,180.00001526,0.39793673
0.62000000,180.00000000,180.00001526,0.39793673
0.64000000,180.00000000,186.42858887,0.39793673
0.66000000,180.00000000,180.00001526,0.36151537
0.68000000,180.00000000,173.57144165,0.39001647
0.70000000,180.00000000,180.00001526,0.42643782
0.72000000,180.00000000,180.00001526,0.39793673
0.74000000,180.00000000,186.42858887,0.39793673
0.76000000,180.00000000,173.57144165,0.36151537
0.78000000,180.00000000,180.00001526,0.42643782
0.80000000,180.00000000,180.00001526,0.39793673
0.82000000,180.00000000,186.42858887,0.39793673
0.84000000,180.00000000,173.57144165,0.36151537
0.86000000,180.00000000,180.00001526,0.42643782
0.88000000,180.00000000,180.00001526,0.39793673
0.90000000,180.00000000,186.42858887,0.39793673
0.92000000,180.00000000,173.57144165,0.36151537
0.94000000,180.00000000,180.00001526,0.42643782
0.96000000,180.00000000,180.00001526,0.39793673
0.98000000,180.00000000,180.00001526,0.39793673
1.00000000,180.00000000,186.42858887,0.39793673
1.02000000,180.00000000,173.57144165,0.36151537
1.04000000,180.00000000,180.00001526,0.42643782
1.06000000,180.00000000,180.00001526,0.39793673
1.08000000,180.00000000,186.42858887,0.39793673
1.10000000,180.00000000,173.57144165,0.36151537
1.12000000,180.00000000,180.00001526,0.42643782
1.14000000,180.00000000,186.42858887,0.39793673
1.16000000,180.00000000,173.57144165,0.36151537
