t,u,y
0.00000000,1.83274090,257.14288330
0.02000000,1.83274090,257.14288330
0.04000000,1.83274090,263.57147217
0.06000000,1.83274090,257.14288330
0.08000000,1.83274090,257.14288330
0.10000000,1.83274090,257.14288330
0.12000000,1.83274090,257.14288330
0.14000000,1.83274090,257.14288330
0.16000000,1.83274090,263.57147217
0.18000000,1.83274090,257.14288330
0.20000000,1.83274090,257.14288330
0.22000000,1.83274090,257.14288330
0.24000000,1.83274090,257.14288330
0.26000000,1.83274090,257.14288330
0.28000000,1.83274090,257.14288330
0.30000000,1.83274090,257.14288330
0.32000000,1.83274090,257.14288330
0.34000000,1.83274090,257.14288330
0.36000000,1.83274090,263.57147217
0.38000000,1.83274090,257.14288330
0.40000000,1.83274090,257.14288330
0.42000000,1.83274090,257.14288330
0.44000000,1.83274090,257.14288330
0.46000000,1.83274090,257.14288330
0.48000000,1.83274090,257.14288330
0.50000000,1.83274090,263.57147217
0.52000000,1.83274090,257.14288330
0.54000000,1.83274090,257.14288330
0.56000000,1.83274090,257.14288330
0.58000000,1.83274090,257.14288330
0.60000000,1.83274090,257.14288330
0.62000000,1.83274090,263.57147217
0.64000000,1.83274090,257.14288330
0.66000000,1.83274090,257.14288330
0.68000000,1.83274090,257.14288330
0.70000000,1.83274090,257.14288330
0.72000000,1.83274090,263.57147217
0.74000000,1.83274090,257.14288330
0.76000000,1.83274090,257.14288330
0.78000000,1.83274090,257.14288330
0.80000000,1.83274090,257.14288330
0.82000000,1.83274090,263.57147217
0.84000000,1.83274090,257.14288330
0.86000000,1.83274090,257.14288330
0.88000000,1.83274090,257.14288330
0.90000000,1.83274090,257.14288330
0.92000000,1.83274090,257.14288330
0.94000000,1.83274090,263.57147217
0.96000000,1.83274090,257.14288330
0.98000000,1.83274090,257.14288330
1.00000000,1.83274090,257.14288330
1.02000000,1.83274090,263.57147217
1.04000000,1.83274090,257.14288330
1.06000000,1.83274090,257.14288330
1.08000000,1.83274090,257.14288330
1.10000000,1.83274090,257.14288330
1.12000000,1.83274090,257.14288330
1.14000000,1.83274090,263.57147217
1.16000000,1.83274090,257.14288330
1.18000000,1.83274090,257.14288330
1.20000000,1.83274090,257.14288330
1.22000000,1.83274090,257.14288330
1.24000000,1.83274090,263.57147217
1.26000000,1.83274090,257.14288330
1.28000000,1.83274090,257.14288330
1.30000000,1.83274090,257.14288330
1.32000000,1.83274090,257.14288330
1.34000000,1.83274090,257.14288330
1.36000000,1.83274090,257.14288330
1.38000000,1.83274090,263.57147217
1.40000000,1.83274090,257.14288330
1.42000000,1.83274090,257.14288330
1.44000000,1.83274090,257.14288330
1.46000000,1.83274090,257.14288330
1.48000000,1.83274090,263.57147217
1.50000000,1.83274090,257.14288330
1.52000000,1.83274090,257.14288330
1.54000000,1.83274090,257.14288330
1.56000000,1.83274090,257.14288330
1.58000000,1.83274090,257.14288330
1.60000000,1.83274090,263.57147217
1.62000000,1.83274090,257.14288330
1.64000000,1.83274090,257.14288330
1.66000000,1.83274090,257.14288330
1.68000000,1.83274090,257.14288330
1.70000000,1.83274090,263.57147217
1.72000000,1.83274090,257.14288330
1.74000000,1.83274090,257.14288330
1.76000000,1.83274090,257.14288330
1.78000000,1.83274090,257.14288330
1.80000000,1.83274090,257.14288330
1.82000000,1.83274090,257.14288330
1.84000000,1.83274090,263.57147217
1.86000000,1.83274090,257.14288330
1.88000000,1.83274090,257.14288330
1.90000000,1.83274090,257.14288330
1.92000000,1.83274090,257.14288330
1.94000000,1.83274090,263.57147217
1.96000000,1.83274090,257.14288330
1.98000000,1.83274090,257.14288330
2.00000000,1.83274090,257.14288330
2.02000000,1.83274090,257.14288330
2.04000000,1.83274090,257.14288330
2.06000000,1.83274090,263.57147217
2.08000000,1.83274090,257.14288330
2.10000000,1.83274090,257.14288330
2.12000000,1.83274090,257.14288330
2.14000000,1.83274090,257.14288330
2.16000000,1.83274090,263.57147217
2.18000000,1.83274090,257.14288330
2.20000000,1.83274090,257.14288330
2.22000000,1.83274090,257.14288330
2.24000000,1.83274090,257.14288330
2.26000000,1.83274090,257.14288330
2.28000000,1.83274090,257.14288330
2.30000000,1.83274090,263.57147217
2.32000000,1.83274090,257.14288330
2.34000000,1.83274090,257.14288330
2.36000000,1.83274090,257.14288330
2.38000000,1.83274090,257.14288330
2.40000000,1.83274090,263.57147217
2.42000000,1.83274090,257.14288330
2.44000000,1.83274090,257.14288330
2.46000000,1.83274090,257.14288330
2.48000000,1.83274090,257.14288330
2.50000000,1.83274090,257.14288330
2.52000000,1.83274090,263.57147217
2.54000000,1.83274090,257.14288330
2.56000000,1.83274090,257.14288330
2.58000000,1.83274090,257.14288330
2.60000000,1.83274090,257.14288330
2.62000000,1.83274090,263.57147217
2.64000000,1.83274090,257.14288330
2.66000000,1.83274090,257.14288330
2.68000000,1.83274090,257.14288330
2.70000000,1.83274090,257.14288330
2.72000000,1.83274090,257.14288330
2.74000000,1.83274090,257.14288330
2.76000000,1.83274090,257.14288330
2.78000000,1.83274090,263.57147217
2.80000000,1.83274090,257.14288330
2.82000000,1.83274090,257.14288330
2.84000000,1.83274090,257.14288330
2.86000000,1.83274090,257.14288330
2.88000000,1.83274090,257.14288330
2.90000000,1.83274090,257.14288330
2.92000000,1.83274090,257.14288330
2.94000000,1.83274090,257.14288330
2.96000000,1.83274090,257.14288330
2.98000000,1.83274090,257.14288330
3.00000000,3.08407497,257.14288330
3.02000000,3.08407497,302.14288330
3.04000000,3.08407497,366.42858887
3.06000000,3.08407497,411.42858887
3.08000000,3.08407497,424.28576660
3.10000000,3.08407497,443.57147217
3.12000000,3.08407497,450.00006104
3.14000000,3.08407497,456.42858887
3.16000000,3.08407497,450.00006104
3.18000000,3.08407497,462.85714722
3.20000000,3.08407497,456.42858887
3.22000000,3.08407497,456.42858887
3.24000000,3.08407497,462.85714722
