u,y
0.16785714,2.05714294
0.18571429,2.82857155
0.20357143,4.11428589
0.22142857,5.27142879
0.23928571,6.68571457
0.25714286,8.22857178
0.27500000,10.80000046
0.29285714,13.62857201
0.31071429,16.84285786
0.32857143,20.05714371
0.34642857,22.75714390
0.36428571,26.10000137
0.38214286,28.80000214
0.40000000,31.88571716
0.30000000,14.40000061
0.49583333,47.95714592
0.69166667,80.10000427
0.88750000,110.18572479
1.08333333,140.01428741
1.27916667,170.87144073
1.47500000,201.34286438
1.67083333,232.71429138
1.86666667,263.57147217
2.06250000,295.20003784
2.25833333,326.31431641
2.45416667,358.45716919
2.65000000,389.18574646
2.84583333,421.07147217
3.04166667,453.08575439
3.23750000,484.71431885
3.43333333,516.98577393
3.62916667,549.25716797
3.82500000,582.30005371
4.02083333,613.15719604
4.21666667,645.42861328
4.41250000,677.31435303
4.60833333,708.94288818
4.80416667,741.21434326
5.00000000,772.07150879
